,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
5455,04-Jul-1924,1924.0,Watercraft,USA,California,"Newport Beach, Orange County",Fishing,M,No Injury,N,,
5456,18-Jun-1924,1924.0,Provoked,USA,Florida,"Bayboro, Pinellas County",Removing shark from a net,M,Survived,N,Evening,
5457,25-Apr-1924,1924.0,Unprovoked,AUSTRALIA,New South Wales,Kiama,"Fishing, fell in water & swimming strongly to shore",M,Fatal,Y,Afternoon,
5458,22-Apr-1924,1924.0,Unprovoked,PANAMA,150 miles offshore,,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,Survived,N,,
5460,Reported 28-Mar-1924,1924.0,Unprovoked,SOLOMON ISLANDS,Central Province,Savo Island,Swimming,M,Survived,N,,
5461,24-Mar-1924,1924.0,Watercraft,SPAIN,Galica,Sisargas Islands,Fishing,M,No Injury,N,,3.5 m shark
5462,13-Feb-1924,1924.0,Unprovoked,AUSTRALIA,New South Wales,Bronte,Bathing in 5' of water,F,Survived,N,19h00,
5464,29-Jan-1924,1924.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Swimming,M,Fatal,Y,15h15,
5465,25-Jan-1924,1924.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"St. George’s Strand, Port Elizabeth",Swimming,M,Survived,N,Afternoon,
5466,09-Jan-1924,1924.0,Unprovoked,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,M,Fatal,Y,16h00,3 m [10'] shark
5467,12-Dec-1923,1923.0,Unprovoked,AUSTRALIA,New South Wales,"Murwillumbah, Tweed River",Swimming,M,Survived,N,,
5468,02-Dec-1923,1923.0,Unprovoked,AUSTRALIA,New South Wales,"Urunga, Belliger Heads","Fishing, standing in waist-deep water",M,Fatal,Y,,
5469,23-Nov-1923,1923.0,Unprovoked,AUSTRALIA,Western Australia,"Condon, 88 km NE of Port Hedland",Dry shelling,M,Fatal,Y,,
5472,17-Oct-1923,1923.0,Watercraft,AUSTRALIA,New South Wales," Black Head, south of Taree",Fishing,M,No Injury,N,,"""a very large shark"""
5473,16-Oct-1923,1923.0,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Pearl diving,M,Survived,N,,
5474,08-Aug-1923,1923.0,Unprovoked,GUYANA,Demerara County,Off the Demerara River ,Fishing,M,Survived,N,01h00,
5475,Reported 02-Jul-1923,1923.0,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for pearl,M,Survived,N,,
5476,16-Jun-1923,1923.0,Watercraft,AUSTRALIA,New South Wales,Bellambi Reef,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,Fatal,Y,,
5477,06-Jun-1923,1923.0,Watercraft,MEXICO,Vera Cruz,Outside Vera Cruz Harbor,Dismantling cable buoys of the cable ship All America,F,No Injury,N,,
5478,Reported 23-May-1923,1923.0,Unprovoked,AUSTRALIA,Western Australia,"Southgates, near Geraldton",Wading,M,Survived,N,,
5479,22-May-1923,1923.0,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving?,M,Fatal,Y,Midday,
5480,18-Mar-1923,1923.0,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Diving,M,Survived,N,,
5481,Feb-1923,1923.0,Unprovoked,USA,Puerto Rico,San Juan,Swimming ,M,Survived,N,,
5483,27-Jan-1923,1923.0,Unprovoked,AUSTRALIA,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",Swimming,M,Fatal,Y,,
5485,1923,1923.0,Watercraft,USA,New Jersey,"Sea Bright, Monmouth County",Fishing,M,No Injury,N,,
5486,1923-1924,1923.0,Unprovoked,PHILIPPINES, Manila Bay,Fort Drum,,M,Fatal,Y,,
5487,1923,1923.0,Provoked,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,M,Survived,N,,
5488,1923,1922.0,Provoked,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,M,Survived,N,,
5489,14-Dec-1922,1922.0,Unprovoked,USA,Puerto Rico,San Juan,Bathing,F,Fatal,Y,,
5490,05-Dec-1922,1922.0,Unprovoked,AUSTRALIA,Queensland,Pialba Beach near Maryborough,Bathing in 3' to 4' of water,M,Fatal,Y,09h15,"2.7 m [9'] ""blue"" shark"
5491,29-Sep-1922,1922.0,Unprovoked,BARBADOS,Lucy,Pie Corner,Fishing,M,Fatal,Y,,
5493,28-Sep-1922,1922.0,Unprovoked,USA,Hawaii,"Keawanui, Kamalo, Moloka'i","Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",M,Survived,N,,
5494,Reported 26-Sep-1922,1922.0,Unprovoked,ENGLAND,East Yorkshire,Hornsea,Swimming ,M,Fatal,Y,,
5495,Reported 21-Sep-1922,1922.0,Watercraft,USA,Massachusetts,Nahant,Fishing,M,No Injury,N,,"""A pack of 6 sharks"""
5496,19-Jul-1922,1922.0,Unprovoked,USA,Florida,"Pablo Beach, Jacksonville, Duval County",,M,Survived,N,,
5497,17-Jun-1922,1922.0,Unprovoked,USA,Florida,"Municipal Pier, St. Petersburg, Tampa bay",Floating,F,Fatal,Y,,1.8 m [6'] shark
5498,24-May 1922,1922.0,Unprovoked,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Swimming,M,Fatal,Y,10h00,6' shark
5499,06-May-1922,1922.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Simon’s Town, False Bay",Swimming,M,Survived,N,A.M.,"White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark "
5500,26-Apr-1922,1922.0,Unprovoked,AUSTRALIA,New South Wales,Hawkesbury River,Swimming,M,Fatal,Y,,
5501,20-Mar-1922,1922.0,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Fishing,M,Survived,N,,
5502,13-Mar-1922,1922.0,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Standing,F,Fatal,Y,,2.7 m [9'] shark later captured by Mitchell-Hedges
5503,02-Mar-1922,1922.0,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in knee-deep water,M,Fatal,Y,11h00,"White shark, 2.4 m [8'] "
5505,04-Feb-1922,1922.0,Unprovoked,AUSTRALIA,New South Wales,Coogee ,Swimming,M,Fatal,Y,15h30,White shark
5506,Reported 28-Jan-1922,1922.0,Unprovoked,IRAQ,,Shatt-al Arab River,Bathing,M,Fatal,Y,,
5507,15-Jan-1922,1922.0,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Swimming ,M,Fatal,Y,17h30,
5508,13-Jan-1922,1922.0,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing,M,Survived,N,18h00,Grey nurse shark?
5509,04-Jan-1922,1922.0,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Surfing,M,Fatal,Y,Evening,
5510,11-Dec-1921,1921.0,Unprovoked,AUSTRALIA,Queensland,Fitzroy River at  Rockhampton,Swimming,M,Survived,N,,
5511,27-Nov-1921,1921.0,Unprovoked,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River",Fell from his father's back into the water,M,Fatal,Y,Morning,
5512,27-Nov-1921,1921.0,Unprovoked,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River","Wading to dinghy, carrying his son",M,Survived,N,Morning,
5513,Reported 15-Nov-1921,1921.0,Unprovoked,FIJI,Viti Levu Island,Rewa River,Swimming,F,Fatal,Y,,
5514,12-Oct-1921,1921.0,Unprovoked,AUSTRALIA,Queensland,Off Hinchinbrook Island,Diving for beche-de-mer ,M,Survived,N,,
5515,04-Oct-1921,1921.0,Unprovoked,AUSTRALIA,Queensland,Barrier Reef,Diving for beche-de-mer,M,Survived,Y,Afternoon,
5516,Sep-1921,1921.0,Provoked,ENGLAND,Dorset,Weymouth,Fishing,M,Survived,N,,"Blue shark, 4' "
5517,Reported 29-Aug-1929,1921.0,Unprovoked,AUSTRALIA,Torres Strait,,,M,Survived,N,,
5518,28-Aug-1921,1921.0,Unprovoked,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",Swimming,M,Fatal,Y,15h00,
5519,21-Jul-1921,1921.0,Unprovoked,CUBA,,Havana Harbor,Fell overboard,M,Fatal,Y,,
5521,29-Nov-1920,1920.0,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Wading,M,Survived,N,,4' to 5' shark
5522,22-Aug-1921,1921.0,Unprovoked,HAITI,Cape Haitien,Marine Dock,Dived into a school of baitfish,M,Fatal,Y,15h30,Comrades saw shark's tail appear about 5' away
